,Time,Temperature,Year,hour,temp maximal,temp minimal,ET,hour1
0,2022-05-15 06:00:00,21.62643520827156,2022-05-15,06:00:00,23.769127828253712,17.773009000432257,22.193719912049797,06
1,2022-05-15 09:00:00,18.658314459832074,2022-05-15,09:00:00,23.769127828253712,17.773009000432257,20.522073131318347,09
2,2022-05-15 12:00:00,21.62643520827156,2022-05-15,12:00:00,23.769127828253712,17.773009000432257,22.193719912049797,12
3,2022-05-15 15:00:00,21.516153483353442,2022-05-15,15:00:00,23.769127828253712,17.773009000432257,22.131609200910503,15
4,2022-05-15 18:00:00,19.64965879636799,2022-05-15,18:00:00,23.769127828253712,17.773009000432257,21.08039865417246,18
5,2022-05-16 06:00:00,15.587421751245325,2022-05-16,06:00:00,23.718959163841994,17.797752118377957,18.674784990180537,06
6,2022-05-16 09:00:00,18.54299020680758,2022-05-16,09:00:00,23.718959163841994,17.797752118377957,20.32893153595989,09
7,2022-05-16 12:00:00,21.46540591829231,2022-05-16,12:00:00,23.718959163841994,17.797752118377957,21.96452344566043,12
8,2022-05-16 15:00:00,21.319192634707914,2022-05-16,15:00:00,23.718959163841994,17.797752118377957,21.882692081703013,15
9,2022-05-16 18:00:00,19.42780480585334,2022-05-16,18:00:00,23.718959163841994,17.797752118377957,20.824136784856158,18
10,2022-05-17 06:00:00,15.373597599580059,2022-05-17,06:00:00,23.70255034034371,17.69867858475694,18.684186836747685,06
11,2022-05-17 09:00:00,18.352083451488753,2022-05-17,09:00:00,23.70255034034371,17.69867858475694,20.362755383660875,09
12,2022-05-17 12:00:00,21.302312357414216,2022-05-17,12:00:00,23.70255034034371,17.69867858475694,22.0253993221933,12
13,2022-05-17 15:00:00,21.187097293264866,2022-05-17,15:00:00,23.70255034034371,17.69867858475694,21.960468215440606,15
14,2022-05-17 18:00:00,19.32845544432689,2022-05-17,18:00:00,23.70255034034371,17.69867858475694,20.91300386518876,18
15,2022-05-18 06:00:00,15.406631241101968,2022-05-18,06:00:00,23.440083184555757,17.44755626475506,18.68512478170691,06
16,2022-05-18 09:00:00,18.417232830716163,2022-05-18,09:00:00,23.440083184555757,17.44755626475506,20.380188856191094,09
17,2022-05-18 12:00:00,21.399158160907174,2022-05-18,12:00:00,23.440083184555757,17.44755626475506,22.05910728812114,12
18,2022-05-18 15:00:00,21.31508828332705,2022-05-18,15:00:00,23.440083184555757,17.44755626475506,22.011773283607244,15
19,2022-05-18 18:00:00,19.486652606782314,2022-05-18,18:00:00,23.440083184555757,17.44755626475506,20.98230607063957,18
20,2022-05-19 06:00:00,15.657753561194724,2022-05-19,06:00:00,23.343237381027414,17.41452262323307,18.7260080922867,06
21,2022-05-19 09:00:00,18.678060808696046,2022-05-19,09:00:00,23.343237381027414,17.41452262323307,20.417458382282835,09
22,2022-05-19 12:00:00,21.661625316743255,2022-05-19,12:00:00,23.343237381027414,17.41452262323307,22.088331786481554,12
23,2022-05-19 15:00:00,21.570275368959795,2022-05-19,15:00:00,23.343237381027414,17.41452262323307,22.037173449594707,15
24,2022-05-19 18:00:00,19.72534086815675,2022-05-19,18:00:00,23.343237381027414,17.41452262323307,21.00396234201986,18
25,2022-05-20 06:00:00,15.75682709472511,2022-05-20,06:00:00,23.50633094192856,17.62834677480914,18.700964843375644,06
26,2022-05-20 09:00:00,18.734414618653012,2022-05-20,09:00:00,23.50633094192856,17.62834677480914,20.361341343685893,09
27,2022-05-20 12:00:00,21.678034140206716,2022-05-20,12:00:00,23.50633094192856,17.62834677480914,22.002776445145102,12
28,2022-05-20 15:00:00,21.5526738027065,2022-05-20,15:00:00,23.50633094192856,17.62834677480914,21.932872418216032,15
29,2022-05-20 18:00:00,19.682499507476027,2022-05-20,18:00:00,23.50633094192856,17.62834677480914,20.890016943328522,18
30,2022-05-21 06:00:00,15.732083976779071,2022-05-21,06:00:00,23.66736023188536,17.690290527007498,18.844014596495622,06
31,2022-05-21 09:00:00,18.743247465173646,2022-05-21,09:00:00,23.66736023188536,17.690290527007498,20.537207080945695,09
32,2022-05-21 12:00:00,21.728202804639956,2022-05-21,12:00:00,23.66736023188536,17.690290527007498,22.215662590479685,12
33,2022-05-21 15:00:00,21.64854033849416,2022-05-21,15:00:00,23.66736023188536,17.690290527007498,22.17086798218602,15
34,2022-05-21 18:00:00,19.824574309770473,2022-05-21,18:00:00,23.66736023188536,17.690290527007498,21.14524264379772,18
35,2022-05-22 06:00:00,15.989519674058148,2022-05-22,06:00:00,23.428973657639723,17.432854829825622,19.019006851264873,06
36,2022-05-22 09:00:00,18.99846863043298,2022-05-22,09:00:00,23.428973657639723,17.432854829825622,20.713648094870166,09
37,2022-05-22 12:00:00,21.966589378850745,2022-05-22,12:00:00,23.428973657639723,17.432854829825622,22.385294875588357,12
38,2022-05-22 15:00:00,21.85630765394642,2022-05-22,15:00:00,23.428973657639723,17.432854829825622,22.323184164456862,15
39,2022-05-22 18:00:00,19.98981296696974,2022-05-22,18:00:00,23.428973657639723,17.432854829825622,21.27197361772441,18
40,2022-05-23 06:00:00,15.927575921851718,2022-05-23,06:00:00,23.378804993228286,17.45759794776437,18.86515948320963,06
41,2022-05-23 09:00:00,18.883144377428057,2022-05-23,09:00:00,23.378804993228286,17.45759794776437,20.519306028996837,09
42,2022-05-23 12:00:00,21.805560088907228,2022-05-23,12:00:00,23.378804993228286,17.45759794776437,22.15489793869426,12
43,2022-05-23 15:00:00,21.659346805300665,2022-05-23,15:00:00,23.378804993228286,17.45759794776437,22.073066574724432,15
